region	chr	midPos	Nsites
(3091,3590)(3100,3599)(3100,3600)	Mt	3350	501	0.077232
(3191,3690)(3200,3699)(3200,3700)	Mt	3450	501	0.079434
(3291,3790)(3300,3799)(3300,3800)	Mt	3550	501	0.074290
(3391,3890)(3400,3899)(3400,3900)	Mt	3650	501	0.076037
(3491,3990)(3500,3999)(3500,4000)	Mt	3750	501	0.077413
(3591,4090)(3600,4099)(3600,4100)	Mt	3850	501	0.076038
(3691,4190)(3700,4199)(3700,4200)	Mt	3950	501	0.080267
(3791,4290)(3800,4299)(3800,4300)	Mt	4050	501	0.079682
(3891,4390)(3900,4399)(3900,4400)	Mt	4150	501	0.074029
(3991,4490)(4000,4499)(4000,4500)	Mt	4250	501	0.074505
(4091,4590)(4100,4599)(4100,4600)	Mt	4350	501	0.077537
(4191,4690)(4200,4699)(4200,4700)	Mt	4450	501	0.078088
(4291,4790)(4300,4799)(4300,4800)	Mt	4550	501	0.077302
(4391,4890)(4400,4899)(4400,4900)	Mt	4650	501	0.080147
(4491,4990)(4500,4999)(4500,5000)	Mt	4750	501	0.072420
(4591,5090)(4600,5099)(4600,5100)	Mt	4850	501	0.074482
(4691,5190)(4700,5199)(4700,5200)	Mt	4950	501	0.074401
(4791,5290)(4800,5299)(4800,5300)	Mt	5050	501	0.070582
(4891,5390)(4900,5399)(4900,5400)	Mt	5150	501	0.068308
(4991,5490)(5000,5499)(5000,5500)	Mt	5250	501	0.072447
(5091,5590)(5100,5599)(5100,5600)	Mt	5350	501	0.071868
(5191,5690)(5200,5699)(5200,5700)	Mt	5450	501	0.070842
(5291,5790)(5300,5799)(5300,5800)	Mt	5550	501	0.076428
(5391,5890)(5400,5899)(5400,5900)	Mt	5650	501	0.084058
(5491,5990)(5500,5999)(5500,6000)	Mt	5750	501	0.082681
(5591,6090)(5600,6099)(5600,6100)	Mt	5850	501	0.087475
(5691,6190)(5700,6199)(5700,6200)	Mt	5950	501	0.077844
(5791,6290)(5800,6299)(5800,6300)	Mt	6050	501	0.071302
(5891,6390)(5900,6399)(5900,6400)	Mt	6150	501	0.064516
(5991,6490)(6000,6499)(6000,6500)	Mt	6250	501	0.062497
(6091,6590)(6100,6599)(6100,6600)	Mt	6350	501	0.053856
(6191,6690)(6200,6699)(6200,6700)	Mt	6450	501	0.062312
(6291,6790)(6300,6799)(6300,6800)	Mt	6550	501	0.072315
(6391,6890)(6400,6899)(6400,6900)	Mt	6650	501	0.069088
(6491,6990)(6500,6999)(6500,7000)	Mt	6750	501	0.072617
(6591,7090)(6600,7099)(6600,7100)	Mt	6850	501	0.078695
(6691,7190)(6700,7199)(6700,7200)	Mt	6950	501	0.077018
(6791,7290)(6800,7299)(6800,7300)	Mt	7050	501	0.072152
(6891,7390)(6900,7399)(6900,7400)	Mt	7150	501	0.074059
(6991,7490)(7000,7499)(7000,7500)	Mt	7250	501	0.072560
(7091,7590)(7100,7599)(7100,7600)	Mt	7350	501	0.068864
(7191,7690)(7200,7699)(7200,7700)	Mt	7450	501	0.066439
(7291,7790)(7300,7799)(7300,7800)	Mt	7550	501	0.072974
(7391,7890)(7400,7899)(7400,7900)	Mt	7650	501	0.075272
(7491,7990)(7500,7999)(7500,8000)	Mt	7750	501	0.079292
(7591,8090)(7600,8099)(7600,8100)	Mt	7850	501	0.078162
(7691,8190)(7700,8199)(7700,8200)	Mt	7950	501	0.084057
(7791,8290)(7800,8299)(7800,8300)	Mt	8050	501	0.085181
(7891,8390)(7900,8399)(7900,8400)	Mt	8150	501	0.088505
(7991,8490)(8000,8499)(8000,8500)	Mt	8250	501	0.082945
(8091,8590)(8100,8599)(8100,8600)	Mt	8350	501	0.083784
(8191,8690)(8200,8699)(8200,8700)	Mt	8450	501	0.079148
(8291,8790)(8300,8799)(8300,8800)	Mt	8550	501	0.075135
(8391,8890)(8400,8899)(8400,8900)	Mt	8650	501	0.067987
(8491,8990)(8500,8999)(8500,9000)	Mt	8750	501	0.068018
(8591,9090)(8600,9099)(8600,9100)	Mt	8850	501	0.067693
(8691,9190)(8700,9199)(8700,9200)	Mt	8950	501	0.077164
(8791,9290)(8800,9299)(8800,9300)	Mt	9050	501	0.072304
(8891,9390)(8900,9399)(8900,9400)	Mt	9150	501	0.077572
(8991,9490)(9000,9499)(9000,9500)	Mt	9250	501	0.078830
(9091,9590)(9100,9599)(9100,9600)	Mt	9350	501	0.079093
(9191,9690)(9200,9699)(9200,9700)	Mt	9450	501	0.067385
(9291,9790)(9300,9799)(9300,9800)	Mt	9550	501	0.073849
(9391,9890)(9400,9899)(9400,9900)	Mt	9650	501	0.071776
(9491,9990)(9500,9999)(9500,10000)	Mt	9750	501	0.075579
(9591,10090)(9600,10099)(9600,10100)	Mt	9850	501	0.082181
(9691,10190)(9700,10199)(9700,10200)	Mt	9950	501	0.078328
(9791,10290)(9800,10299)(9800,10300)	Mt	10050	501	0.079692
(9891,10390)(9900,10399)(9900,10400)	Mt	10150	501	0.083410
(9991,10490)(10000,10499)(10000,10500)	Mt	10250	501	0.078500
(10091,10590)(10100,10599)(10100,10600)	Mt	10350	501	0.067778
(10191,10690)(10200,10699)(10200,10700)	Mt	10450	501	0.074681
(10291,10790)(10300,10799)(10300,10800)	Mt	10550	501	0.069351
(10391,10890)(10400,10899)(10400,10900)	Mt	10650	501	0.066532
(10491,10990)(10500,10999)(10500,11000)	Mt	10750	501	0.067742
(10591,11090)(10600,11099)(10600,11100)	Mt	10850	501	0.073964
(10691,11190)(10700,11199)(10700,11200)	Mt	10950	501	0.071416
(10791,11290)(10800,11299)(10800,11300)	Mt	11050	501	0.070235
(10891,11390)(10900,11399)(10900,11400)	Mt	11150	501	0.073213
(10991,11490)(11000,11499)(11000,11500)	Mt	11250	501	0.075615
(11091,11590)(11100,11599)(11100,11600)	Mt	11350	501	0.070295
(11191,11690)(11200,11699)(11200,11700)	Mt	11450	501	0.077772
(11291,11790)(11300,11799)(11300,11800)	Mt	11550	501	0.094900
(11391,11890)(11400,11899)(11400,11900)	Mt	11650	501	0.093628
(11491,11990)(11500,11999)(11500,12000)	Mt	11750	501	0.102076
(11591,12090)(11600,12099)(11600,12100)	Mt	11850	501	0.106395
(11691,12190)(11700,12199)(11700,12200)	Mt	11950	501	0.105645
(11791,12290)(11800,12299)(11800,12300)	Mt	12050	501	0.088028
(11891,12390)(11900,12399)(11900,12400)	Mt	12150	501	0.083878
(11991,12490)(12000,12499)(12000,12500)	Mt	12250	501	0.075304
(12091,12590)(12100,12599)(12100,12600)	Mt	12350	501	0.075148
(12191,12690)(12200,12699)(12200,12700)	Mt	12450	501	0.067438
(12291,12790)(12300,12799)(12300,12800)	Mt	12550	501	0.068907
(12391,12890)(12400,12899)(12400,12900)	Mt	12650	501	0.077026
(12491,12990)(12500,12999)(12500,13000)	Mt	12750	501	0.077468
(12591,13090)(12600,13099)(12600,13100)	Mt	12850	501	0.082333
(12691,13190)(12700,13199)(12700,13200)	Mt	12950	501	0.080585
(12791,13290)(12800,13299)(12800,13300)	Mt	13050	501	0.083649
(12891,13390)(12900,13399)(12900,13400)	Mt	13150	501	0.085032
(12991,13490)(13000,13499)(13000,13500)	Mt	13250	501	0.085890
(13091,13590)(13100,13599)(13100,13600)	Mt	13350	501	0.079338
(13191,13690)(13200,13699)(13200,13700)	Mt	13450	501	0.079089
(13291,13790)(13300,13799)(13300,13800)	Mt	13550	501	0.077710
(13391,13890)(13400,13899)(13400,13900)	Mt	13650	501	0.075558
(13491,13990)(13500,13999)(13500,14000)	Mt	13750	501	0.075633
(13591,14090)(13600,14099)(13600,14100)	Mt	13850	501	0.076445
(13691,14190)(13700,14199)(13700,14200)	Mt	13950	501	0.082266
(13791,14290)(13800,14299)(13800,14300)	Mt	14050	501	0.078574
(13891,14390)(13900,14399)(13900,14400)	Mt	14150	501	0.074769
(13991,14490)(14000,14499)(14000,14500)	Mt	14250	501	0.071561
(14091,14590)(14100,14599)(14100,14600)	Mt	14350	501	0.070818
(14191,14690)(14200,14699)(14200,14700)	Mt	14450	501	0.070026
(14291,14790)(14300,14799)(14300,14800)	Mt	14550	501	0.071146
(14391,14890)(14400,14899)(14400,14900)	Mt	14650	501	0.078333
(14491,14990)(14500,14999)(14500,15000)	Mt	14750	501	0.082312
(14591,15090)(14600,15099)(14600,15100)	Mt	14850	501	0.083362
(14691,15190)(14700,15199)(14700,15200)	Mt	14950	501	0.080117
(14791,15290)(14800,15299)(14800,15300)	Mt	15050	501	0.085691
(14891,15390)(14900,15399)(14900,15400)	Mt	15150	501	0.083087
(14991,15490)(15000,15499)(15000,15500)	Mt	15250	501	0.085005
(15091,15590)(15100,15599)(15100,15600)	Mt	15350	501	0.085579
(15191,15690)(15200,15699)(15200,15700)	Mt	15450	501	0.092382
(15291,15790)(15300,15799)(15300,15800)	Mt	15550	501	0.089904
(15391,15890)(15400,15899)(15400,15900)	Mt	15650	501	0.084758
(15491,15990)(15500,15999)(15500,16000)	Mt	15750	501	0.084417
(15591,16090)(15600,16099)(15600,16100)	Mt	15850	501	0.090152
(15691,16190)(15700,16199)(15700,16200)	Mt	15950	501	0.090387
(15791,16290)(15800,16299)(15800,16300)	Mt	16050	501	0.086678
(15891,16390)(15900,16399)(15900,16400)	Mt	16150	501	0.088846
(15991,16490)(16000,16499)(16000,16500)	Mt	16250	501	0.085881
(16091,16590)(16100,16599)(16100,16600)	Mt	16350	501	0.077591
(16191,16690)(16200,16699)(16200,16700)	Mt	16450	501	0.079810
(16291,16790)(16300,16799)(16300,16800)	Mt	16550	501	0.081720
(16391,16890)(16400,16899)(16400,16900)	Mt	16650	501	0.084943
(16491,16990)(16500,16999)(16500,17000)	Mt	16750	501	0.081743
(16591,17090)(16600,17099)(16600,17100)	Mt	16850	501	0.083978
(16691,17190)(16700,17199)(16700,17200)	Mt	16950	501	0.082403
(16791,17290)(16800,17299)(16800,17300)	Mt	17050	501	0.082697
(16891,17390)(16900,17399)(16900,17400)	Mt	17150	501	0.080051
(16991,17490)(17000,17499)(17000,17500)	Mt	17250	501	0.081776
(17091,17590)(17100,17599)(17100,17600)	Mt	17350	501	0.082370
(17191,17690)(17200,17699)(17200,17700)	Mt	17450	501	0.085003
(17291,17790)(17300,17799)(17300,17800)	Mt	17550	501	0.089427
(17391,17890)(17400,17899)(17400,17900)	Mt	17650	501	0.090506
(17491,17990)(17500,17999)(17500,18000)	Mt	17750	501	0.092777
(17591,18090)(17600,18099)(17600,18100)	Mt	17850	501	0.086510
(17691,18190)(17700,18199)(17700,18200)	Mt	17950	501	0.081755
(17791,18290)(17800,18299)(17800,18300)	Mt	18050	501	0.076329
(17891,18390)(17900,18399)(17900,18400)	Mt	18150	501	0.075848
(17991,18490)(18000,18499)(18000,18500)	Mt	18250	501	0.071405
(18091,18590)(18100,18599)(18100,18600)	Mt	18350	501	0.080693
(18191,18690)(18200,18699)(18200,18700)	Mt	18450	501	0.076439
(18291,18790)(18300,18799)(18300,18800)	Mt	18550	501	0.075029
(18391,18890)(18400,18899)(18400,18900)	Mt	18650	501	0.073600
(18491,18990)(18500,18999)(18500,19000)	Mt	18750	501	0.080739
(18591,19090)(18600,19099)(18600,19100)	Mt	18850	501	0.070122
(18691,19190)(18700,19199)(18700,19200)	Mt	18950	501	0.069168
(18791,19290)(18800,19299)(18800,19300)	Mt	19050	501	0.071308
(18891,19390)(18900,19399)(18900,19400)	Mt	19150	501	0.075779
(18991,19490)(19000,19499)(19000,19500)	Mt	19250	501	0.073883
(19091,19590)(19100,19599)(19100,19600)	Mt	19350	501	0.084753
(19191,19690)(19200,19699)(19200,19700)	Mt	19450	501	0.084280
(19291,19790)(19300,19799)(19300,19800)	Mt	19550	501	0.086495
(19391,19890)(19400,19899)(19400,19900)	Mt	19650	501	0.084175
(19491,19990)(19500,19999)(19500,20000)	Mt	19750	501	0.088561
(19591,20090)(19600,20099)(19600,20100)	Mt	19850	501	0.088566
(19691,20190)(19700,20199)(19700,20200)	Mt	19950	501	0.092772
(19791,20290)(19800,20299)(19800,20300)	Mt	20050	501	0.089866
(19891,20390)(19900,20399)(19900,20400)	Mt	20150	501	0.096110
(19991,20490)(20000,20499)(20000,20500)	Mt	20250	501	0.089024
(20091,20590)(20100,20599)(20100,20600)	Mt	20350	501	0.083320
(20191,20690)(20200,20699)(20200,20700)	Mt	20450	501	0.079057
(20291,20790)(20300,20799)(20300,20800)	Mt	20550	501	0.080471
(20391,20890)(20400,20899)(20400,20900)	Mt	20650	501	0.071551
(20491,20990)(20500,20999)(20500,21000)	Mt	20750	501	0.074851
(20591,21090)(20600,21099)(20600,21100)	Mt	20850	501	0.076804
(20691,21190)(20700,21199)(20700,21200)	Mt	20950	501	0.077615
(20791,21290)(20800,21299)(20800,21300)	Mt	21050	501	0.081719
(20891,21390)(20900,21399)(20900,21400)	Mt	21150	501	0.085211
(20991,21490)(21000,21499)(21000,21500)	Mt	21250	501	0.075977
(21091,21590)(21100,21599)(21100,21600)	Mt	21350	501	0.077489
(21191,21690)(21200,21699)(21200,21700)	Mt	21450	501	0.087853
(21291,21790)(21300,21799)(21300,21800)	Mt	21550	501	0.087393
(21391,21890)(21400,21899)(21400,21900)	Mt	21650	501	0.090653
(21491,21990)(21500,21999)(21500,22000)	Mt	21750	501	0.098907
(21591,22090)(21600,22099)(21600,22100)	Mt	21850	501	0.096707
(21691,22190)(21700,22199)(21700,22200)	Mt	21950	501	0.089505
(21791,22290)(21800,22299)(21800,22300)	Mt	22050	501	0.092450
(21891,22390)(21900,22399)(21900,22400)	Mt	22150	501	0.092701
(21991,22490)(22000,22499)(22000,22500)	Mt	22250	501	0.091445
(22091,22590)(22100,22599)(22100,22600)	Mt	22350	501	0.095738
(22191,22690)(22200,22699)(22200,22700)	Mt	22450	501	0.103933
(22291,22790)(22300,22799)(22300,22800)	Mt	22550	501	0.098737
(22391,22890)(22400,22899)(22400,22900)	Mt	22650	501	0.087642
(22491,22990)(22500,22999)(22500,23000)	Mt	22750	501	0.092274
(22591,23090)(22600,23099)(22600,23100)	Mt	22850	501	0.083177
(22691,23190)(22700,23199)(22700,23200)	Mt	22950	501	0.074227
(22791,23290)(22800,23299)(22800,23300)	Mt	23050	501	0.072862
(22891,23390)(22900,23399)(22900,23400)	Mt	23150	501	0.082023
(22991,23490)(23000,23499)(23000,23500)	Mt	23250	501	0.081618
(23091,23590)(23100,23599)(23100,23600)	Mt	23350	501	0.087862
(23191,23690)(23200,23699)(23200,23700)	Mt	23450	501	0.085786
(23291,23790)(23300,23799)(23300,23800)	Mt	23550	501	0.092099
(23391,23890)(23400,23899)(23400,23900)	Mt	23650	501	0.088359
(23491,23990)(23500,23999)(23500,24000)	Mt	23750	501	0.088308
(23591,24090)(23600,24099)(23600,24100)	Mt	23850	501	0.083917
(23691,24190)(23700,24199)(23700,24200)	Mt	23950	501	0.080395
(23791,24290)(23800,24299)(23800,24300)	Mt	24050	501	0.077063
(23891,24390)(23900,24399)(23900,24400)	Mt	24150	501	0.073109
(23991,24490)(24000,24499)(24000,24500)	Mt	24250	501	0.068116
(24091,24590)(24100,24599)(24100,24600)	Mt	24350	501	0.070809
(24191,24690)(24200,24699)(24200,24700)	Mt	24450	501	0.075903
(24291,24790)(24300,24799)(24300,24800)	Mt	24550	501	0.070040
(24391,24890)(24400,24899)(24400,24900)	Mt	24650	501	0.066922
(24491,24990)(24500,24999)(24500,25000)	Mt	24750	501	0.067991
(24591,25090)(24600,25099)(24600,25100)	Mt	24850	501	0.070445
(24691,25190)(24700,25199)(24700,25200)	Mt	24950	501	0.066495
(24791,25290)(24800,25299)(24800,25300)	Mt	25050	501	0.072186
(24891,25390)(24900,25399)(24900,25400)	Mt	25150	501	0.082066
(24991,25490)(25000,25499)(25000,25500)	Mt	25250	501	0.086419
(25091,25590)(25100,25599)(25100,25600)	Mt	25350	501	0.079178
(25191,25690)(25200,25699)(25200,25700)	Mt	25450	501	0.082420
(25291,25790)(25300,25799)(25300,25800)	Mt	25550	501	0.079856
(25391,25890)(25400,25899)(25400,25900)	Mt	25650	501	0.072760
(25491,25990)(25500,25999)(25500,26000)	Mt	25750	501	0.069278
(25591,26090)(25600,26099)(25600,26100)	Mt	25850	501	0.073226
(25691,26190)(25700,26199)(25700,26200)	Mt	25950	501	0.068968
(25791,26290)(25800,26299)(25800,26300)	Mt	26050	501	0.072895
(25891,26390)(25900,26399)(25900,26400)	Mt	26150	501	0.079455
(25991,26490)(26000,26499)(26000,26500)	Mt	26250	501	0.083710
(26091,26590)(26100,26599)(26100,26600)	Mt	26350	501	0.086224
(26191,26690)(26200,26699)(26200,26700)	Mt	26450	501	0.089787
(26291,26790)(26300,26799)(26300,26800)	Mt	26550	501	0.089064
(26391,26890)(26400,26899)(26400,26900)	Mt	26650	501	0.088093
(26491,26990)(26500,26999)(26500,27000)	Mt	26750	501	0.089393
(26591,27090)(26600,27099)(26600,27100)	Mt	26850	501	0.083487
(26691,27190)(26700,27199)(26700,27200)	Mt	26950	501	0.087653
(26791,27290)(26800,27299)(26800,27300)	Mt	27050	501	0.089448
(26891,27390)(26900,27399)(26900,27400)	Mt	27150	501	0.087687
(26991,27490)(27000,27499)(27000,27500)	Mt	27250	501	0.075563
(27091,27590)(27100,27599)(27100,27600)	Mt	27350	501	0.078058
(27191,27690)(27200,27699)(27200,27700)	Mt	27450	501	0.080232
(27291,27790)(27300,27799)(27300,27800)	Mt	27550	501	0.078097
(27391,27890)(27400,27899)(27400,27900)	Mt	27650	501	0.075704
(27491,27990)(27500,27999)(27500,28000)	Mt	27750	501	0.088478
(27591,28090)(27600,28099)(27600,28100)	Mt	27850	501	0.088359
(27691,28190)(27700,28199)(27700,28200)	Mt	27950	501	0.080779
(27791,28290)(27800,28299)(27800,28300)	Mt	28050	501	0.079422
(27891,28390)(27900,28399)(27900,28400)	Mt	28150	501	0.082814
(27991,28490)(28000,28499)(28000,28500)	Mt	28250	501	0.072862
(28091,28590)(28100,28599)(28100,28600)	Mt	28350	501	0.074084
(28191,28690)(28200,28699)(28200,28700)	Mt	28450	501	0.075723
(28291,28790)(28300,28799)(28300,28800)	Mt	28550	501	0.080035
(28391,28890)(28400,28899)(28400,28900)	Mt	28650	501	0.083108
(28491,28990)(28500,28999)(28500,29000)	Mt	28750	501	0.085643
(28591,29090)(28600,29099)(28600,29100)	Mt	28850	501	0.088777
(28691,29190)(28700,29199)(28700,29200)	Mt	28950	501	0.087314
(28791,29290)(28800,29299)(28800,29300)	Mt	29050	501	0.081087
(28891,29390)(28900,29399)(28900,29400)	Mt	29150	501	0.076501
(28991,29490)(29000,29499)(29000,29500)	Mt	29250	501	0.074614
(29091,29590)(29100,29599)(29100,29600)	Mt	29350	501	0.070047
(29191,29690)(29200,29699)(29200,29700)	Mt	29450	501	0.073182
(29291,29790)(29300,29799)(29300,29800)	Mt	29550	501	0.071227
(29391,29890)(29400,29899)(29400,29900)	Mt	29650	501	0.068975
(29491,29990)(29500,29999)(29500,30000)	Mt	29750	501	0.072094
(29591,30090)(29600,30099)(29600,30100)	Mt	29850	501	0.075150
(29691,30190)(29700,30199)(29700,30200)	Mt	29950	501	0.074854
(29791,30290)(29800,30299)(29800,30300)	Mt	30050	501	0.077686
(29891,30390)(29900,30399)(29900,30400)	Mt	30150	501	0.079086
(29991,30490)(30000,30499)(30000,30500)	Mt	30250	501	0.079000
(30091,30590)(30100,30599)(30100,30600)	Mt	30350	501	0.073150
(30191,30690)(30200,30699)(30200,30700)	Mt	30450	501	0.079498
(30291,30790)(30300,30799)(30300,30800)	Mt	30550	501	0.077107
(30391,30890)(30400,30899)(30400,30900)	Mt	30650	501	0.074940
(30491,30990)(30500,30999)(30500,31000)	Mt	30750	501	0.071938
(30591,31090)(30600,31099)(30600,31100)	Mt	30850	501	0.075938
(30691,31190)(30700,31199)(30700,31200)	Mt	30950	501	0.072687
(30791,31290)(30800,31299)(30800,31300)	Mt	31050	501	0.076800
(30891,31390)(30900,31399)(30900,31400)	Mt	31150	501	0.074977
(30991,31490)(31000,31499)(31000,31500)	Mt	31250	501	0.078740
(31091,31590)(31100,31599)(31100,31600)	Mt	31350	501	0.076556
(31191,31690)(31200,31699)(31200,31700)	Mt	31450	501	0.066980
(31291,31790)(31300,31799)(31300,31800)	Mt	31550	501	0.067848
(31391,31890)(31400,31899)(31400,31900)	Mt	31650	501	0.069532
(31491,31990)(31500,31999)(31500,32000)	Mt	31750	501	0.069405
(31591,32090)(31600,32099)(31600,32100)	Mt	31850	501	0.071549
(31691,32190)(31700,32199)(31700,32200)	Mt	31950	501	0.076001
(31791,32290)(31800,32299)(31800,32300)	Mt	32050	501	0.072919
(31891,32390)(31900,32399)(31900,32400)	Mt	32150	501	0.079052
(31991,32490)(32000,32499)(32000,32500)	Mt	32250	501	0.074606
(32091,32590)(32100,32599)(32100,32600)	Mt	32350	501	0.075472
(32191,32690)(32200,32699)(32200,32700)	Mt	32450	501	0.078803
(32291,32790)(32300,32799)(32300,32800)	Mt	32550	501	0.087113
(32391,32890)(32400,32899)(32400,32900)	Mt	32650	501	0.079276
(32491,32990)(32500,32999)(32500,33000)	Mt	32750	501	0.080108
(32591,33090)(32600,33099)(32600,33100)	Mt	32850	501	0.084885
(32691,33190)(32700,33199)(32700,33200)	Mt	32950	501	0.088289
(32791,33290)(32800,33299)(32800,33300)	Mt	33050	501	0.087259
(32891,33390)(32900,33399)(32900,33400)	Mt	33150	501	0.092097
(32991,33490)(33000,33499)(33000,33500)	Mt	33250	501	0.093274
(33091,33590)(33100,33599)(33100,33600)	Mt	33350	501	0.084443
(33191,33690)(33200,33699)(33200,33700)	Mt	33450	501	0.078015
(33291,33790)(33300,33799)(33300,33800)	Mt	33550	501	0.075676
(33391,33890)(33400,33899)(33400,33900)	Mt	33650	501	0.079840
(33491,33990)(33500,33999)(33500,34000)	Mt	33750	501	0.086690
(33591,34090)(33600,34099)(33600,34100)	Mt	33850	501	0.092703
(33691,34190)(33700,34199)(33700,34200)	Mt	33950	501	0.104018
(33791,34290)(33800,34299)(33800,34300)	Mt	34050	501	0.095202
(33891,34390)(33900,34399)(33900,34400)	Mt	34150	501	0.087509
(33991,34490)(34000,34499)(34000,34500)	Mt	34250	501	0.087963
(34091,34590)(34100,34599)(34100,34600)	Mt	34350	501	0.086213
(34191,34690)(34200,34699)(34200,34700)	Mt	34450	501	0.076348
(34291,34790)(34300,34799)(34300,34800)	Mt	34550	501	0.086665
(34391,34890)(34400,34899)(34400,34900)	Mt	34650	501	0.086831
(34491,34990)(34500,34999)(34500,35000)	Mt	34750	501	0.087855
(34591,35090)(34600,35099)(34600,35100)	Mt	34850	501	0.087826
(34691,35190)(34700,35199)(34700,35200)	Mt	34950	501	0.088609
(34791,35290)(34800,35299)(34800,35300)	Mt	35050	501	0.083691
(34891,35390)(34900,35399)(34900,35400)	Mt	35150	501	0.084774
(34991,35490)(35000,35499)(35000,35500)	Mt	35250	501	0.074310
(35091,35590)(35100,35599)(35100,35600)	Mt	35350	501	0.069609
(35191,35690)(35200,35699)(35200,35700)	Mt	35450	501	0.072525
(35291,35790)(35300,35799)(35300,35800)	Mt	35550	501	0.067458
(35391,35890)(35400,35899)(35400,35900)	Mt	35650	501	0.073545
(35491,35990)(35500,35999)(35500,36000)	Mt	35750	501	0.085687
(35591,36090)(35600,36099)(35600,36100)	Mt	35850	501	0.088585
(35691,36190)(35700,36199)(35700,36200)	Mt	35950	501	0.082070
(35791,36290)(35800,36299)(35800,36300)	Mt	36050	501	0.089352
(35891,36390)(35900,36399)(35900,36400)	Mt	36150	501	0.087457
(35991,36490)(36000,36499)(36000,36500)	Mt	36250	501	0.081441
(36091,36590)(36100,36599)(36100,36600)	Mt	36350	501	0.074327
(36191,36690)(36200,36699)(36200,36700)	Mt	36450	501	0.080637
(36291,36790)(36300,36799)(36300,36800)	Mt	36550	501	0.085009
(36391,36890)(36400,36899)(36400,36900)	Mt	36650	501	0.085331
(36491,36990)(36500,36999)(36500,37000)	Mt	36750	501	0.081823
(36591,37090)(36600,37099)(36600,37100)	Mt	36850	501	0.091848
(36691,37190)(36700,37199)(36700,37200)	Mt	36950	501	0.086898
(36791,37290)(36800,37299)(36800,37300)	Mt	37050	501	0.079491
(36891,37390)(36900,37399)(36900,37400)	Mt	37150	501	0.085852
(36991,37490)(37000,37499)(37000,37500)	Mt	37250	501	0.082327
(37091,37590)(37100,37599)(37100,37600)	Mt	37350	501	0.080151
(37191,37690)(37200,37699)(37200,37700)	Mt	37450	501	0.087426
(37291,37790)(37300,37799)(37300,37800)	Mt	37550	501	0.084496
(37391,37890)(37400,37899)(37400,37900)	Mt	37650	501	0.076131
(37491,37990)(37500,37999)(37500,38000)	Mt	37750	501	0.078453
(37591,38090)(37600,38099)(37600,38100)	Mt	37850	501	0.076498
(37691,38190)(37700,38199)(37700,38200)	Mt	37950	501	0.069371
(37791,38290)(37800,38299)(37800,38300)	Mt	38050	501	0.074031
(37891,38390)(37900,38399)(37900,38400)	Mt	38150	501	0.074060
(37991,38490)(38000,38499)(38000,38500)	Mt	38250	501	0.072029
(38091,38590)(38100,38599)(38100,38600)	Mt	38350	501	0.076743
(38191,38690)(38200,38699)(38200,38700)	Mt	38450	501	0.074885
(38291,38790)(38300,38799)(38300,38800)	Mt	38550	501	0.073957
(38391,38890)(38400,38899)(38400,38900)	Mt	38650	501	0.071378
(38491,38990)(38500,38999)(38500,39000)	Mt	38750	501	0.071848
(38591,39090)(38600,39099)(38600,39100)	Mt	38850	501	0.064404
(38691,39190)(38700,39199)(38700,39200)	Mt	38950	501	0.068925
(38791,39290)(38800,39299)(38800,39300)	Mt	39050	501	0.068536
(38891,39390)(38900,39399)(38900,39400)	Mt	39150	501	0.065971
